case_id,title,symptom,topology_note,show_outputs,expected_fault,expected_osi_layer,concept_tag,severity,expected_next_command,expected_fix_steps,expected_rule_ids
NET-001,Inter-VLAN routing sub-interface administratively down,PC1 cannot reach Server1 in VLAN 30. Router-on-a-stick configuration seems broken on GigabitEthernet0/0.30.,"{""nodes"":[{""id"":""pc1"",""name"":""User-PC-01"",""type"":""PC"",""ip"":""10.10.10.15"",""vlan"":""VLAN 10"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""active"",""x"":300,""y"":180,""interfaces"":[""Gi0/1"",""Gi0/2""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.10.10.1"",""status"":""warning"",""x"":500,""y"":180,""interfaces"":[""Gi0/0.10"",""Gi0/0.30""]},{""id"":""srv1"",""name"":""Auth-Server-01"",""type"":""Server"",""ip"":""10.30.30.50"",""vlan"":""VLAN 30"",""status"":""failed"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""active"",""bandwidth"":""100 Mbps""},{""source"":""sw1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""},{""source"":""r1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (Sub-if Down)""}]}","CORE-ROUTER-01# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  10.10.10.1      YES manual up                    up
GigabitEthernet0/0.30  10.30.30.1      YES manual administratively down down
GigabitEthernet0/1     172.16.1.1      YES manual up                    up","The sub-interface GigabitEthernet0/0.30 is administratively disabled, which prevents routing gateway operations for VLAN 30 clients.",Layer 3 (Network),Inter-VLAN Routing,High,show running-config interface GigabitEthernet0/0.30,"configure terminal
interface GigabitEthernet0/0.30
no shutdown",RC-01
NET-002,Access layer physical interface protocol down,PC2 has completely lost physical and logical connectivity to local access switch. Cable or port hardware suspected.,"{""nodes"":[{""id"":""pc2"",""name"":""User-PC-02"",""type"":""PC"",""ip"":""10.10.10.16"",""vlan"":""VLAN 10"",""status"":""failed"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""warning"",""x"":400,""y"":180,""interfaces"":[""Fa0/12""]},{""id"":""srv1"",""name"":""App-Server-02"",""type"":""Server"",""ip"":""10.30.30.51"",""status"":""active"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc2"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""100 Mbps (L1 Down)""},{""source"":""sw1"",""target"":""srv1"",""status"":""active"",""bandwidth"":""1 Gbps""}]}","ACCESS-SWITCH-01# show interfaces fastethernet 0/12
FastEthernet0/12 is down, line protocol is down (notconnect)
  Hardware is Fast Ethernet, address is 0011.2233.4455
  MTU 1500 bytes, BW 100000 Kbit/sec, DLY 100 usec,
     reliability 0/255, txload 0/255, rxload 0/255","The physical cable to FastEthernet0/12 is disconnected, damaged, or the network interface card on the PC side is powered off.",Layer 1 (Physical),L1 Physical,Medium,show cdp neighbors,"configure terminal
interface FastEthernet0/12
shutdown
no shutdown (and check physical ethernet cabling link)",RC-02
NET-003,Duplicate IP address conflict on server vlan,Critical ERP system Server1 is experiencing intermittent dropouts. Logs show ARP conflict warnings.,"{""nodes"":[{""id"":""pc1"",""name"":""Rogue-Device"",""type"":""PC"",""ip"":""10.30.30.50"",""vlan"":""VLAN 30"",""status"":""warning"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.30.30.2"",""status"":""warning"",""x"":400,""y"":180,""interfaces"":[""Gi1/1"",""Gi1/2""]},{""id"":""srv1"",""name"":""ERP-Server"",""type"":""Server"",""ip"":""10.30.30.50"",""vlan"":""VLAN 30"",""status"":""failed"",""x"":700,""y"":320,""interfaces"":[""Gi1/2""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""active"",""bandwidth"":""1 Gbps""},{""source"":""sw1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""10 Gbps (IP Conflict)""}]}","CORE-SWITCH-01# show logging | include Duplicate
%IP-4-DUPADDR: Duplicate IP address 10.30.30.50 on GigabitEthernet1/1, sourced by mac address 0019.55aa.bbcc
%IP-4-DUPADDR: Duplicate IP address 10.30.30.50 on GigabitEthernet1/1, sourced by mac address 0019.55aa.bbcc",A static IP conflict exists on the network. An rogue host or secondary device has been misconfigured with the IP address of the core server: 10.30.30.50.,Layer 3 (Network),IPAM,Critical,show mac address-table address 0019.55aa.bbcc,"configure terminal
arp authorized (to enforce MAC-IP bindings)
interface GigabitEthernet1/1
ip dhcp snooping limit rate 150",RC-05
NET-004,OSPF link subnet mask mismatch,OSPF neighborhood cannot form between CORE-ROUTER and BRANCH-RT. Stuck in INIT state.,"{""nodes"":[{""id"":""sw1"",""name"":""BRANCH-RT-01"",""type"":""Router"",""ip"":""192.168.10.2"",""status"":""warning"",""x"":200,""y"":150,""interfaces"":[""Gi0/1""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""192.168.10.1"",""status"":""warning"",""x"":600,""y"":150,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""sw1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""1 Gbps (Mask Mismatch)""}]}","BRANCH-RT-01# show ip ospf interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 192.168.10.2/29, Area 0
  Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST
  
CORE-ROUTER-01# show ip ospf interface GigabitEthernet0/1
Internet Address 192.168.10.1/24, Area 0",OSPF neighbor adjacencies require subnet masks to match on broadcast links. The mask /29 on BRANCH-RT-01 conflicts with /24 on CORE-ROUTER-01.,Layer 3 (Network),L3 Routing,High,show running-config interface GigabitEthernet0/1,"configure terminal
interface GigabitEthernet0/1
ip address 192.168.10.2 255.255.255.0 (Reconfigure mask to match /24)",RC-03
NET-005,PC Default Gateway IP mismatch,PC3 can ping local switch SVI but cannot browse or ping external internet servers.,"{""nodes"":[{""id"":""pc3"",""name"":""PC-03-CLIENT"",""type"":""PC"",""ip"":""10.10.10.17"",""status"":""warning"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""active"",""x"":450,""y"":180,""interfaces"":[""Vlan10""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.10.10.1"",""status"":""active"",""x"":750,""y"":180,""interfaces"":[""Gi0/0""]}],""links"":[{""source"":""pc3"",""target"":""sw1"",""status"":""active"",""bandwidth"":""100 Mbps""},{""source"":""sw1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""1 Gbps (Gateway Mismatch)""}]}","C:\> ipconfig /all
Ethernet Adapter local:
   IPv4 Address. . . . . . . . . . . : 10.10.10.17
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 10.10.10.254 (unreachable)

ACCESS-SWITCH-01# show ip interface brief
Interface              IP-Address      OK? Status                Protocol
Vlan10                 10.10.10.1      YES up                    up",A gateway IP mismatch on the client. The PC static default gateway configuration has a typo pointing to 10.10.10.254 instead of 10.10.10.1.,Layer 3 (Network),IPAM / Gateway,Medium,ping 10.10.10.1,Reconfigure Client static default gateway IP on adapter settings to: 10.10.10.1,RC-04
NET-006,Missing VLAN database entry on access switch,Accounting PCs in VLAN 20 are completely isolated from the switch and router trunk link.,"{""nodes"":[{""id"":""pc1"",""name"":""Accounting-PC"",""type"":""PC"",""ip"":""10.20.20.15"",""vlan"":""VLAN 20"",""status"":""failed"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-03"",""type"":""Switch"",""ip"":""10.20.20.2"",""status"":""failed"",""x"":450,""y"":180,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.20.20.1"",""status"":""active"",""x"":750,""y"":180,""interfaces"":[""Gi0/0""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""100 Mbps (Missing VLAN)""},{""source"":""sw1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""}]}","ACCESS-SWITCH-03# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
10   Engineering                      active    Fa0/4, Fa0/5
100  DMZ                              active    Fa0/20",VLAN 20 was assigned to access ports but has never been added to the switch VLAN database. Ports in non-existent VLANs are kept inactive.,Layer 2 (Data Link),L2 Switching,High,show running-config interface FastEthernet0/10,"configure terminal
vlan 20
name Accounting
exit",RC-06
NET-007,Native VLAN trunk mismatch,Cisco switches reporting native VLAN mismatch messages on syslog. Trunk link performance degraded.,"{""nodes"":[{""id"":""sw1"",""name"":""ACCESS-SWITCH-04"",""type"":""Switch"",""ip"":""10.99.99.2"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""sw2"",""name"":""DIST-SWITCH-02"",""type"":""Switch"",""ip"":""10.99.99.3"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""sw1"",""target"":""sw2"",""status"":""failed"",""bandwidth"":""1 Gbps (VLAN Mismatch)""}]}","DIST-SWITCH-02# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      10

ACCESS-SWITCH-04# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      99","A native VLAN mismatch exists on Gi0/1 trunk. Frames sent unencapsulated on Native VLAN 10 from Dist switch will be received in Native VLAN 99 on Access switch, creating cross-VLAN leaks.",Layer 2 (Data Link),L2 Trunking,Medium,show spanning-tree trunk,"configure terminal
interface GigabitEthernet0/1
switchport trunk native vlan 99 (or return both interfaces to the standard default VLAN 1)",RC-07
NET-008,Missing static route for network gateway,Headquarters cannot reach newly configured Branch subnet 192.168.50.0/24.,"{""nodes"":[{""id"":""r1"",""name"":""HQ-ROUTER-01"",""type"":""Router"",""ip"":""172.16.50.1"",""status"":""warning"",""x"":200,""y"":150,""interfaces"":[""Gi0/0""]},{""id"":""r2"",""name"":""BRANCH-ROUTER-01"",""type"":""Router"",""ip"":""172.16.50.2"",""status"":""active"",""x"":500,""y"":150,""interfaces"":[""Gi0/0""]},{""id"":""srv1"",""name"":""Branch-Server"",""type"":""Server"",""ip"":""192.168.50.10"",""status"":""failed"",""x"":800,""y"":150,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""r1"",""target"":""r2"",""status"":""active"",""bandwidth"":""10 Gbps""},{""source"":""r2"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (Route Missing)""}]}","HQ-ROUTER-01# show ip route
Gateway of last resort is 172.16.50.1 to network 0.0.0.0

      172.16.0.0/16 is variably subnetted, 2 subnets, 2 masks
C        172.16.50.0/30 is directly connected, GigabitEthernet0/0
C        192.168.10.0/24 is directly connected, GigabitEthernet0/1
HQ-ROUTER-01# ping 192.168.50.10
Type escape sequence to abort.
Sending 5, 100-byte ICMP Echos to 192.168.50.10, timeout is 2 seconds:
.....
Success rate is 0 percent (0/5)",There is no static or dynamic route in the HQ-ROUTER-01 routing table for Branch subnet 192.168.50.0/24. Routing lookup fails and drops traffic.,Layer 3 (Network),L3 Routing,High,show running-config | include ip route,"configure terminal
ip route 192.168.50.0 255.255.255.0 172.16.50.2",RC-08
NET-009,Standard ACL blocking web port traffic,Clients in VLAN 10 report they cannot access HTTP/HTTPS services hosted on local core DMZ servers.,"{""nodes"":[{""id"":""pc1"",""name"":""Web-Client"",""type"":""PC"",""ip"":""10.10.10.15"",""vlan"":""VLAN 10"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.10.10.2"",""status"":""warning"",""x"":400,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""srv1"",""name"":""Web-Server"",""type"":""Server"",""ip"":""10.30.30.50"",""vlan"":""VLAN 30"",""status"":""failed"",""x"":700,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""active"",""bandwidth"":""100 Mbps""},{""source"":""sw1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""10 Gbps (ACL Deny)""}]}","CORE-SWITCH-01# show ip access-lists
Standard IP access list 101
    10 deny 10.10.10.0 0.0.0.255 (match-count 14502)
    20 permit any",Access-list 101 is configured with a broad Standard ACL blocking all IP traffic from 10.10.10.0/24. This cuts off web traffic (port 80/443) which requires an Extended ACL.,Layer 4 (Transport),Security,High,show running-config | include access-list,"configure terminal
no access-list 101
ip access-list extended SECURE-WEB
permit tcp 10.10.10.0 0.0.0.255 host 10.30.30.50 eq 80
permit tcp 10.10.10.0 0.0.0.255 host 10.30.30.50 eq 443",RC-09
NET-010,DHCP address pool exhausted,New devices in the conference room are failing to acquire an IP address. They default to APIPA (169.254.x.x).,"{""nodes"":[{""id"":""pc1"",""name"":""Conf-Room-Laptop"",""type"":""PC"",""ip"":""169.254.12.3"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-05"",""type"":""Switch"",""ip"":""192.168.20.2"",""status"":""active"",""x"":450,""y"":180,""interfaces"":[""Fa0/2""]},{""id"":""r1"",""name"":""HQ-ROUTER-01"",""type"":""Router"",""ip"":""192.168.20.1"",""status"":""warning"",""x"":750,""y"":180,""interfaces"":[""Gi0/0""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""100 Mbps (APIPA)""},{""source"":""sw1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""}]}","HQ-ROUTER-01# show ip dhcp pool CONF-ROOM
Pool CONF-ROOM :
  Utilization mark (80/100)
  Subnet 192.168.20.0/28
  Lease structure: 86400 secs
  Total addresses: 11
  Allocated addresses: 11 (100% exhausted)
  Excluded addresses: 3","The DHCP address scope 192.168.20.0/28 is too small. With only 11 usable addresses, new conference room hosts cannot acquire IP leases.",Layer 3 (Network),IPAM / DHCP,Medium,show running-config | section dhcp,"configure terminal
ip dhcp pool CONF-ROOM
no network 192.168.20.0 255.255.255.240
network 192.168.20.0 255.255.255.0 (Expand subnet lease pool scope to /24)",RC-10
